"","logFC","AveExpr","t","P.Value","adj.P.Val","B","Threshold"
"Prickle1",-0.00832599513207466,7.35745364825459,-0.0774231911190815,0.939665234922127,0.970467990405497,-6.56731861470132,"Non-Significant"
"Pip5k1a",0.0123547486323741,7.47250240037117,0.156877421370585,0.878159250271008,0.937683601365933,-6.56753945201919,"Non-Significant"
"Eif3i",-0.0397679332821843,7.9744491439461,-0.300260452828321,0.769528609352031,0.864066086308066,-6.56781890168111,"Non-Significant"
"Eef1d",0.0248856595935187,7.6227059739256,0.229658506185703,0.822535338557606,0.898714662038869,-6.56787003086628,"Non-Significant"
"Nup153",-0.0232060729094634,7.549644873058,-0.211790184864729,0.836110337167108,0.907622003621206,-6.56827048274311,"Non-Significant"
"Tro",-0.045634972181773,9.86089217970695,-0.42010777489351,0.682425898228438,0.807215793045829,-6.56846292184384,"Non-Significant"
"Anapc1",-0.0416370068705305,8.31968146596163,-0.362797629291861,0.723571574914979,0.834147515119377,-6.56856024222587,"Non-Significant"
"Fam135b",-0.0015395126878115,7.26591710830765,-0.0144285856089231,0.988744194118908,0.994687059297684,-6.56970329798037,"Non-Significant"
"Slc2a13",-0.0268600102745626,8.37963367676347,-0.363306130945773,0.72320221918594,0.834080767863888,-6.57064087933611,"Non-Significant"
"Mcl1",-0.017252303498414,7.58108032485674,-0.191157977960191,0.851854364923271,0.919865318251823,-6.57127129085554,"Non-Significant"
"Gabrd",-0.0114738616035099,7.44774956986182,-0.0923462461953503,0.928068984768642,0.964817057923301,-6.57132061230566,"Non-Significant"
"Pfkl",0.0347137393212638,8.84575932654855,0.41567147191569,0.685574908543208,0.810224891914701,-6.57133976890591,"Non-Significant"
"Lancl2",-0.00223455790654636,7.46741914824948,-0.0233446385888357,0.981789854472487,0.991041549294128,-6.57252265957268,"Non-Significant"
"Sgtb",0.0250547989224694,7.96835935553977,0.265836969248339,0.795238873984132,0.879952939994885,-6.57341454210184,"Non-Significant"
"Nploc4",0.0154035384928246,7.66023645829273,0.195152201260953,0.848800959034046,0.917678227005723,-6.57466756498957,"Non-Significant"
"Magi1",0.0273330428554965,7.97990146431848,0.277356554774713,0.786605107596331,0.874762745783726,-6.57467995438124,"Non-Significant"
"Kctd1",-0.00479094080347053,7.4008006337924,-0.0504895260722118,0.960629633142317,0.979414135122456,-6.5751241478899,"Non-Significant"
"Kcnip3",-0.0172636376588757,7.77064896612409,-0.221366966335344,0.828827390655812,0.903745827433332,-6.57687792858688,"Non-Significant"
"Clec16a",0.0216620641278258,7.74019714449342,0.231230645264686,0.821343768786046,0.898510498459428,-6.57701728152467,"Non-Significant"
"Ube2z",0.0134910202880834,7.59016038946666,0.12674553294634,0.901409201200183,0.952204953400768,-6.57751329342774,"Non-Significant"
"Dctn2",-0.0671686243973557,9.16754715443895,-0.405917009469249,0.692520763402329,0.815554355493156,-6.57764901030695,"Non-Significant"
"Lrrc59",-0.00928559831620124,7.52806953537728,-0.0983137576159135,0.92343652683377,0.962616978925977,-6.57829851225589,"Non-Significant"
"Egln2",-0.0446605562056845,8.1457300046334,-0.290912366013832,0.776483484837314,0.868156774641039,-6.57834174918498,"Non-Significant"
"Map1b",0.0444149634475881,11.2977871788046,0.28265889182646,0.78264103256512,0.871843879038848,-6.57837264274109,"Non-Significant"
"Ddn",0.0194088297519635,11.652947497115,0.237553640211115,0.81655616279207,0.895501108871334,-6.5784286773597,"Non-Significant"
"Bod1",-0.024356089855905,7.77429435601347,-0.194163716659245,0.849556372787736,0.918124280195947,-6.58044199663219,"Non-Significant"
"Kdm2a",0.0228091532517087,7.83731231955785,0.228504701440395,0.823410137830553,0.898936954386556,-6.58052151924284,"Non-Significant"
"Nsmf",0.0272230634314212,9.62870916612338,0.396160388776178,0.699497769212046,0.820523445444528,-6.5810471478256,"Non-Significant"
"Mtor",0.0401030335830832,8.40905891941422,0.335641214488341,0.743401386419142,0.848605674693292,-6.58140924095616,"Non-Significant"
"Rtn2",-0.0150462597103882,7.64489420542784,-0.132799313468943,0.89672956860812,0.949890435527269,-6.58156240726198,"Non-Significant"
"Copb2",-0.00269035314001087,7.47627578825615,-0.0274356410671093,0.978599447563992,0.989803049453903,-6.58169405231566,"Non-Significant"
"Map7d2",-0.013274610341715,7.54377856632173,-0.119860258852039,0.906736329039843,0.953935253677151,-6.58182294236692,"Non-Significant"
"Diras2",0.0428443139507824,9.02073949561477,0.392654255100105,0.70201214692339,0.821673308330786,-6.58221996828548,"Non-Significant"
"Atp6v1h",-0.0538867882467944,9.1745546448352,-0.395070285031466,0.700279122195577,0.821080336794989,-6.58222837489051,"Non-Significant"
"Ddhd1",0.00240296013815122,7.46365795678439,0.0299326606187046,0.976652311399264,0.989803049453903,-6.58225633646375,"Non-Significant"
"Otud7a",0.0199098375939188,7.82881492651087,0.230125391484131,0.822181423788022,0.898694633838499,-6.58236871980218,"Non-Significant"
"Cadps2",-0.0289722901677916,9.02767548350565,-0.39379265728098,0.701195347125045,0.821673308330786,-6.58243640924823,"Non-Significant"
"Fam102b",0.00197637456306499,7.50106515368998,0.0218046936111035,0.982990884281533,0.991087251957309,-6.58278375059915,"Non-Significant"
"Dstyk",0.020449820974024,7.91501715845,0.244686913225699,0.811164400557491,0.891748056113695,-6.582800784924,"Non-Significant"
"Dpp8",-0.0367238288490519,9.37893277040152,-0.393315828735767,0.701537422181143,0.821673308330786,-6.58299877454622,"Non-Significant"
"Smim10l1",-0.0102366800118832,7.6004408518368,-0.102780244755854,0.919971210134977,0.960125838168928,-6.58312301062829,"Non-Significant"
"Ogfrl1",0.0213119781128874,8.10051214874499,0.254113006328474,0.804055266043418,0.88624622346732,-6.58331643633386,"Non-Significant"
"Tmem246",0.00798044436128276,7.60319827670874,0.0938395716105581,0.926909478682155,0.964063098742219,-6.58333015225376,"Non-Significant"
"Drp2",0.00246045978630427,7.53915509891789,0.0242133539405827,0.981112348860462,0.991041549294128,-6.58343983044125,"Non-Significant"
"Dnajc27",-0.0214070843313028,8.30473471094908,-0.297463680683322,0.771607194407692,0.865311585688358,-6.58364556506912,"Non-Significant"
"Wwc1",0.0315630900708417,8.05820571867878,0.265663156915772,0.795369366398821,0.879952939994885,-6.58581572121453,"Non-Significant"
"Myt1l",0.0478380647365757,9.1476483762371,0.384237470943863,0.708063284173725,0.824790550246731,-6.58583184351433,"Non-Significant"
"Pitpnm2",-0.0412356566464656,8.98023285922095,-0.384783075378295,0.707670385691916,0.824691598295453,-6.58624471520355,"Non-Significant"
"Ccni",0.0291995313426625,8.28954295322952,0.274846747633781,0.788483671209481,0.875439167288139,-6.5863043092528,"Non-Significant"
"Coro1a",0.0431448387837428,8.29306532785544,0.279287893909708,0.785160483958062,0.874286809164112,-6.58633979860672,"Non-Significant"
"Iqsec1",0.0561307920645042,8.97477141498249,0.381987770536878,0.709684264365383,0.825646334410094,-6.58658320287793,"Non-Significant"
"Mon2",0.0321532692910385,8.26247300267055,0.296452340619047,0.772359292456197,0.865792459270698,-6.58721703867459,"Non-Significant"
"Stim2",-0.00976684488792667,7.62435330813453,-0.132814647542239,0.896717720336504,0.949890435527269,-6.58729188204013,"Non-Significant"
"Tbc1d9b",0.0339236895168327,9.24764809623787,0.380809083791766,0.710534144478567,0.826231193622928,-6.58736821133397,"Non-Significant"
"Extl1",-0.0157729989507844,7.87983260891961,-0.197903522553629,0.846699196684523,0.91614563584693,-6.58766911498689,"Non-Significant"
"Tusc2",0.0167641093346305,7.70966213945968,0.126350603374369,0.90171462353411,0.952204953400768,-6.58801025753715,"Non-Significant"
"Tmed7",-0.0139906393064564,7.86459342699266,-0.187266971922672,0.854831302995396,0.922336111773437,-6.58819303305615,"Non-Significant"
"Taldo1",-0.0482010958054193,8.20245875718834,-0.283404007117981,0.782084490040278,0.871822434346558,-6.58820496303884,"Non-Significant"
