"","logFC","AveExpr","t","P.Value","adj.P.Val","B","Threshold"
"Pcnx3",-0.267268121853051,8.08447352251013,-2.3246625247334,0.0400554062628172,0.177123910921556,-4.01292250869067,"Non-Significant"
"Tjp1",-0.235366385086799,8.13139394313505,-2.3265914950152,0.039919077964023,0.177123910921556,-4.01409023965037,"Non-Significant"
"Scyl1",0.188028396462713,7.04261481379625,2.26973048070809,0.0441313625329438,0.184086898540846,-4.01480780141511,"Non-Significant"
"Atf6",-0.262852722118729,7.88949074567348,-2.31690255893163,0.0406083841694579,0.178092441045021,-4.01670426936783,"Non-Significant"
"Psd2",-0.196007350267666,7.83125720198207,-2.31331329071849,0.0408666383726849,0.178326371317032,-4.01957329790173,"Non-Significant"
"Usp29",-0.348322974880982,7.53225422404719,-2.30378579802535,0.0415598543804725,0.179511758114364,-4.0206510415153,"Non-Significant"
"Crip2",0.291736471275776,6.786986092542,2.24481323703063,0.0461088970288971,0.188518513348682,-4.0221818469095,"Non-Significant"
"Magi2",-0.281719922234226,8.10006024965332,-2.32005790867772,0.0403826507740685,0.177577567771684,-4.02238552331154,"Non-Significant"
"Uba5",-0.210070646452692,6.84490244882696,-2.25797100128408,0.0450542928289898,0.186208861795985,-4.02653867316017,"Non-Significant"
"H2afz",-0.338384701817507,8.17894945388075,-2.32466455912472,0.0400552622477462,0.177123910921556,-4.02749241311823,"Non-Significant"
"Ube2h",-0.17406054793426,8.02376309519336,-2.31454690938505,0.0407776993598957,0.178326371317032,-4.02794054189465,"Non-Significant"
"Amfr",0.164964864929779,9.20027557648574,2.34164950763704,0.0388701450783863,0.175946024718671,-4.02944211273253,"Non-Significant"
"Rc3h2",-0.233077294465973,8.54917723843644,-2.33362364712923,0.0394258665300816,0.176064197358474,-4.029803949935,"Non-Significant"
"Pou6f1",0.242620263486649,7.99514021664118,2.31045998239247,0.0410730671180133,0.178429490546835,-4.0305449985176,"Non-Significant"
"Mgat4a",-0.204597926961785,7.29933923449389,-2.28711049639565,0.0428004669294959,0.182623956980433,-4.03171779279642,"Non-Significant"
"Naca",-0.37681711009981,7.13201241712039,-2.28255858134731,0.0431452601600564,0.182623956980433,-4.03754826428447,"Non-Significant"
"Pkp4",-0.292124197760716,9.85604511720448,-2.33678451526755,0.0392060943073527,0.176064197358474,-4.04187143842743,"Non-Significant"
"Evi5",-0.238968321337627,7.669729705018,-2.29790315677961,0.0419935103262893,0.180801640922512,-4.04353052273799,"Non-Significant"
"Grm3",-0.182345598537779,8.62199525516395,-2.32478841130651,0.0400464956612152,0.177123910921556,-4.04768768207372,"Non-Significant"
"Adam15",0.270027903397589,6.82994107238607,2.23147826013397,0.0472017988991719,0.190019272914651,-4.05060893184444,"Non-Significant"
"Acp2",0.235610463041783,6.79167243312799,2.23286952774849,0.0470866263260489,0.190019272914651,-4.05608480807226,"Non-Significant"
"Necab1",0.28411947765032,6.96020123023935,2.24185254857749,0.0463494359047237,0.188637977739894,-4.0568085901766,"Non-Significant"
"Pomp",-0.434534880499125,7.194403754929,-2.27407059383253,0.0437953383355851,0.183044535402789,-4.05756254828661,"Non-Significant"
"Phlpp2",-0.270659206680941,7.50313115523112,-2.28227402973747,0.0431669024528058,0.182623956980433,-4.05959196586401,"Non-Significant"
"Pitpna",0.182909429163562,8.10893948341803,2.29322454277405,0.0423415127798599,0.181715659013566,-4.06576272394819,"Non-Significant"
"Mprip",-0.258161017013293,10.6550855520627,-2.31219492484032,0.0409474295967141,0.178326371317032,-4.06944393932768,"Non-Significant"
"Abhd12",0.203450218338018,9.16773474641657,2.31656309927043,0.0406327414034757,0.178092441045021,-4.07022537900544,"Non-Significant"
"Sez6",0.257120178911705,7.80799900588891,2.27763174372949,0.0435214596183435,0.183044535402789,-4.07502413623595,"Non-Significant"
"Pcbp4",0.263138514719736,7.81757771603412,2.27933684934684,0.0433909074238612,0.182993464694646,-4.07571214338355,"Non-Significant"
"Pomk",0.219152359109837,6.73239986290814,2.2121337018343,0.0488313537082618,0.194598757783817,-4.07603550664871,"Non-Significant"
"Acp1",-0.418938923627634,7.02276751489474,-2.25321224999251,0.0454330140980949,0.186609833979598,-4.07740991617497,"Non-Significant"
"Med13",-0.257455804671599,8.62829394812331,-2.30465699735781,0.0414959989519539,0.179511758114364,-4.08018515754755,"Non-Significant"
