"","SAL_WT","SAL_KO","RO_WT","RO_KO","RO_RAP_WT","RO_RAP_KO"
"Rnf130",1395.96552300103,1153.69031346721,1409.11020312219,1123.57466643511,1302.44233384781,730.919110994141
"Wwp1",1395.71963577414,1017.59829510771,1543.47825926966,1447.0806849443,1422.82711851652,571.658919752145
"Uqcc2",1395.42975875858,848.522807504818,1600.33337712487,1266.19559932626,1121.2913407867,416.141948163866
"Rxrb",1394.38711902508,1125.00419167002,1290.99045511053,1179.23161585605,1437.26348269661,792.01490589358
"Ypel2",1394.28655026062,1126.83695841824,1351.6211392519,1864.5078056013,1345.63648908245,756.640550107055
"Abcd2",1394.20745851359,942.001429449212,1413.00592916619,1092.26763238584,1296.50855908732,615.121302222631
"Lingo3",1393.80777026859,1049.76179049315,1389.78725092975,827.8971226364,1599.92764336862,737.038728049195
"Zdhhc8",1393.18876896412,982.083983510968,1180.21985727985,939.211021478269,1225.29092540008,799.080671892191
"Med12l",1392.57182929876,1247.2721856668,1353.82492276039,1377.50949816813,1430.89502844501,722.783210698918
"X2510039O18Rik",1391.68348040127,1005.54831323103,1126.39754340179,1238.36712461579,1328.69733211417,723.071032216074
"Gpbp1l1",1391.51300357389,986.61859060943,1317.46721304717,942.689580817077,1405.18250662862,701.680468907173
"Msantd4",1391.08721483423,1219.16728512469,1737.34688692098,2038.43577254172,1400.6483488838,666.909215225321
"Atg4b",1389.85338604261,1134.36944767365,1403.93012300278,1558.39458378616,1525.11340784905,770.302008891536
"Smcr8",1389.76145235063,1183.58079939667,1477.99151134475,1516.65187172046,1411.99914800276,790.906097946133
"Arl4c",1389.72615576519,1142.44731723894,1196.59968718178,876.596953379717,1377.62676560929,845.472250684561
"Rtn4rl1",1389.16871356302,1040.57834589955,1114.77660304315,1054.00347965895,1243.18385886334,629.77036497435
"Eif6",1388.44196807106,1035.69867760257,1214.69649793319,1054.00347965895,1300.46185612873,663.322488039952
"Lrfn1",1387.7442208375,995.944511721747,1384.5781671597,1054.00347965895,1389.71407309851,786.70097860058
"Per1",1387.12993497097,1211.20210867187,1282.85364780769,939.211021478269,1197.33401039396,690.967508902771
"Rasgef1b",1386.75088895757,1037.95051855201,1092.67703548802,1318.37398940838,1370.16138421156,782.995268267541
"Sumo2",1385.80796169137,1070.7761927953,1309.92882463645,1707.97263535493,1212.23807591476,750.600694173253
"Map3k7",1385.62869337202,947.467498433538,1451.47379066531,1353.15958279647,1362.19791321286,686.176782976498
"L3mbtl2",1385.31053521029,1091.77836930161,1369.5461864364,1161.83881916201,1433.83552409028,704.260252468843
"Zxdb",1385.22618007667,1113.31115939741,1330.7479420464,1224.45288726056,1373.28232126335,784.422636165982
"Cops3",1384.9836636728,962.355488626013,1410.43406941057,859.204156685675,1559.29074028711,592.294055624964
"Cog3",1384.79802906572,1193.88111383626,1439.16481255071,1012.26076759324,1420.73819851779,689.552257804286
"Txndc15",1384.52327044669,978.527385656738,1561.97451472259,1140.96746312916,1439.38716896911,600.429526767883
"Zfp12",1383.37307217283,1205.40516805777,1629.41753530181,1314.89543006958,1521.32798337285,728.053696684994
"Klhl5",1383.25004058845,752.288184494944,1483.35536216794,817.461444619974,1448.38591691933,510.83018765451
"Tex264",1382.37975421258,859.356139301101,1026.29248590768,1102.70331040226,1300.06544627613,659.194084677397
"Fgfr1op2",1382.32611519699,1122.97492337989,1633.67347440241,1861.0292462625,1351.59477703049,690.547734510171
"Fyttd1",1381.84385763868,1210.99359465604,1600.80917641129,2306.28484162997,1200.77479154384,711.187867520291
"Flcn",1380.81561860168,1190.0937649076,1348.8681947721,900.946868751376,1469.37539578628,707.785048980715
"Rprm",1376.82944656028,1187.16942267104,1013.09191849632,1130.53178511273,1140.49024492222,831.9378013652
"Zfp462",1376.68295943765,1074.55320578911,1708.65030017319,1617.53009254591,1646.21333457383,715.137769963184
"Nudt11",1374.18410975013,1033.20061329549,1139.01064447205,1151.40314114558,1414.90437810245,737.705167436228
"Cxxc5",1373.75146496717,1058.60197114108,1083.7019438283,873.118394040909,1476.20740538363,865.852559921463
"Sae1",1373.4075353701,1170.42986723232,1515.81966814996,1600.13729585187,1454.45303960491,753.376443973023
"Tmeff2",1373.2282538564,1130.44107250955,1302.06317549519,1161.83881916201,1432.09288369969,746.50019439746
"Atp6v1f",1372.18897801726,716.184077313237,1308.64366432189,932.253902800652,1221.57892137631,502.396585024835
"Arih2",1372.13318117458,1214.86806488589,1419.64064501463,1144.44602246796,1373.90107646175,777.468495942484
"Yaf2",1370.97277324328,1114.12035669404,1081.82167823068,1391.42373552336,1317.22449300664,769.236117254244
"Atg13",1370.83130646752,1057.75773588276,1123.13669603959,1262.71703998745,1298.49143655384,718.769360713741
"Dcaf12",1370.39685983095,1050.9913796754,1320.4641036485,1012.26076759324,1446.95305701263,706.938606006713
"Wdr18",1370.24557268859,951.902963226376,1127.48663608333,987.910852221586,1471.34892261204,695.149811069374
"Pde4a",1369.67849101426,1161.70137108148,1358.16688602509,928.775343461843,1630.07664104273,825.738624190648
"Tgfbrap1",1368.07973633424,1028.11245909569,1296.00009157205,1040.08924230371,1347.75504655953,745.441018479275
"Ipo4",1367.31126082175,1079.87669585901,1257.84414700469,1161.83881916201,1479.53796642768,687.751147344621
"Sulf2",1366.69300208017,1205.01552657523,1437.20530744709,1092.26763238584,1660.01501022189,899.689928425792
"Cnpy3",1366.59108183448,849.443982139608,1070.64959327432,1005.30364891563,1219.49352376328,632.050448490256
"Chmp2a",1366.55711600662,813.796918261335,1414.96680725463,893.989750073759,1138.35017957727,479.37232810415
"Serf2",1365.3047902791,998.121965634647,1648.81736775024,1516.65187172046,1293.05445368362,648.979934116994
"Pgm2",1364.89718188505,1144.91354657126,1193.20823929748,1307.93831139196,1421.29720217389,727.136093932283
"Smad4",1364.39127965227,1181.53720563746,1327.99566491016,1687.10127932208,1420.16410899534,736.83326078311
"Cpsf2",1363.80857939527,1137.96535335494,1225.54616430972,1436.64500692787,1481.67838923867,698.172771111112
"Acat2",1362.38859983945,1152.66060674925,1246.40206687845,1064.43915767537,1327.02658440538,713.757976295737
"Naca",1362.05319099281,1088.11031215732,1664.54915942667,1947.99322973271,1167.81629797643,595.991734302532
"Terf2ip",1361.58214479021,1090.34674720055,1329.00622514334,1262.71703998745,1368.83503269756,724.818798788673
"Hist1h2bc",1361.48457068995,810.734622899731,1644.86371383314,1001.82508957682,1497.51984462732,594.965000597343
"Cdc42se1",1361.39464315826,855.558830515817,1076.800691391,793.111529248316,1349.02778884784,744.532049413268
"Pitpnc1",1361.30384349599,1209.09205385748,1318.39109235755,1568.83026180259,1556.04635641899,900.718707479222
"Rab24",1360.10586681727,962.929047840461,1375.28533292919,1057.48203899775,1110.41777507743,532.685092003649
"Myo5b",1360.07495048229,763.665863018987,1225.36716795863,563.526612886961,1516.86335184766,553.541730045366
"Kcnmb4",1359.62390296247,1022.99786911568,1225.08480198507,1092.26763238584,1196.18102111982,674.185625784305
"Pbxip1",1358.56312583082,1203.79416035731,1282.59066762088,1078.3533950306,1384.79528648398,842.435317331658
"Evl",1358.24156564231,1171.77547301949,1026.8334172448,1127.05322577392,1290.89841258454,743.302764544867
"Zfp646",1357.18731134257,1177.01316926015,1764.20085165114,1287.06695535911,1633.04722551979,799.180542725961
"Begain",1357.02321128302,1037.3122501529,1260.19839580893,779.197291893082,1347.55158561146,746.182862062952
"Ndufa13.1",1357.01308335558,944.175785909823,1426.28993535992,1631.44432990114,1047.30308740092,486.978370592511
"Pim3",1354.46996543436,1056.64480788284,1228.82487027752,880.075512718526,1237.63386001672,677.662808300315
"Atp5j",1354.2480878977,817.822537547818,1777.20118720716,841.811359991633,1168.53506799606,497.520596973311
"Kat7",1354.04019479021,1070.18565023721,1230.26104927179,1384.46661684574,1587.1317459215,778.264846198744
"Plekhb1",1353.02069116571,975.286747232291,1226.98503206047,1026.17500494848,1205.6380411309,719.658377368085
"Eif3e",1352.0848915472,1056.12197600637,1556.09137647851,1534.04466841451,1175.71602956473,566.225212534583
"Ric1",1351.90065697152,1174.15039442238,1309.77316133116,1182.71017519486,1324.75022530775,705.429021643952
"Rasa1",1350.58637453389,1166.34375098833,1547.37691130934,1579.26593981901,1515.9080918352,679.226075623952
"Lrrtm2",1350.08672636758,686.059525347442,1400.43397222527,1189.66729387247,1287.76382466892,466.274037560114
"Gramd4",1349.6178193197,1198.33608373871,1545.53270076,1300.98119271434,1797.03981253125,821.692382234775
"Ocrl",1348.71478500214,944.446463210736,1216.2568933955,967.039496188736,1353.52306248013,591.743860169014
"Pank2",1346.59270976668,1117.02498798082,1469.93881016783,1561.87314312497,1426.89784734701,781.888323301378
"Rtn4r",1345.6549912711,838.285364427223,1225.04122939133,1050.52492032014,1280.69837989733,665.52876105565
"Dctn5",1345.5208494587,1083.1854672661,1289.55110507337,1255.75992130983,1274.38060098639,690.041101975818
"Ets2",1345.46636608953,1157.63865912585,1083.81679994762,1474.90915965476,1474.79274505743,780.539748413006
"Pisd",1345.05697246296,949.578716498278,1124.45637919018,859.204156685675,1114.30303576321,630.704324723618
"Myo1b",1344.18999596611,1008.9950654596,1344.42124385292,1158.3602598232,1152.34184136599,522.397441537391
"Cnot8",1343.81638730509,1073.21014610981,1170.35498271205,956.603818172311,1316.31402412688,650.73111731714
"Spry2",1342.69983061483,959.291898040009,1176.72543120863,998.346530238011,1392.51979471791,703.170429525975
"Necab1",1342.64489415902,938.363822377796,1074.97419913531,1589.70161783544,1275.32429654351,791.05905224359
"Slc35e4",1342.48231675705,874.001216701875,1096.97378229724,667.883393051213,1250.22100068244,629.578086335934
"Rgs7",1341.41676171761,932.59320368703,1136.87132289383,970.518055527544,1240.00639297441,675.304708086491
"Blcap",1340.93541375933,1031.77503271374,1022.33691808978,1113.13898841869,1307.57337975053,798.81236684646
"Ppp1r13b",1340.03134865338,1125.6676688912,1298.29124362287,1422.73076957264,1645.54382197321,763.63266536903
"Sorcs2",1339.46148143658,1105.37705990163,1239.26427971347,925.296784123035,1430.97784294264,793.070414605494
"Sergef",1339.26675595612,1081.01411230243,1107.71671100594,1297.50263337553,995.579698762199,495.949878191265
"Hs6st1",1339.03957479967,893.526100181828,1253.71503925416,1085.31051370822,1524.1253508104,729.134259437826
"Ipo13",1337.85493551221,1033.54765758799,1071.6779193232,824.418563297591,1371.76482940105,684.148914189241
"Mfsd14b",1337.16335703801,1089.51369645856,1183.67187704855,1297.50263337553,1253.08282796034,657.366611518507
"Rab22a",1336.91275225955,1149.3754119661,1210.05394364566,1356.63814213528,1269.93044524141,765.372625831336
"Ubr7",1336.41817425388,916.424188480857,1295.99541556301,1541.00178709212,1242.00213980212,666.526239408877
"Smek2",1335.04106984188,1108.88462585411,1642.85166114623,1513.17331238166,1405.22410395357,630.40301358256
"Ptpn1",1334.76102771324,1106.08371208933,1468.32463858673,1485.34483767119,1436.43428591076,731.244459762673
"Kars",1334.72771585195,973.916798689511,1106.05027382595,827.8971226364,1494.51677194914,660.695232490505
"Senp5",1333.88705735079,1138.01044671204,1321.63444478095,1116.6175477575,1278.35395749605,679.115911943297
"Dbi",1333.24399225271,756.231935570351,2187.6925837081,994.867970899203,1229.98683143049,385.858118691323
"Psmd5",1331.68760084899,913.68867281909,1296.66170744438,1186.18873453367,1410.40349031344,611.568818632501
"Wbp1l",1331.67169965638,1136.91904335097,1514.91075283296,1718.40831337135,1367.8107445105,808.726200251073
"Fam220a",1331.54593867132,1011.05673797046,1245.95041243071,768.761613876657,1541.05435210045,701.018860319911
"Atp1b3",1329.79428690815,1138.96889300017,1217.72476202001,914.86110610661,1476.64578599811,720.781849153015
"Mxi1",1329.59216291377,1104.17323836763,1285.31991952545,1384.46661684574,1235.60677980141,749.948976880717
"Actn4",1328.63497982672,1177.40846660451,1200.67690358508,1227.93144659937,1285.2541867006,650.675299523534
"Zdhhc7",1328.04853112437,1151.09415771331,1179.91802855305,1071.39627635299,1374.74575437916,829.611588376064
"Usp54",1326.09745501439,1119.17110748209,1377.40695648973,960.082377511119,1335.64715535947,719.715374927269
"Myo16",1325.99972792138,986.402794818879,1230.65391653148,817.461444619974,1257.05354197891,609.209320418535
"Bag5",1325.68696891726,1094.33625704265,1549.52832951479,1300.98119271434,1426.42520947166,626.246210258579
"Zmat4",1325.05980990203,1116.66644905423,1354.39522366918,1454.03780362191,1105.3711554539,772.179669947305
"Wdr17",1323.68106440785,1087.63248082152,1247.52830005493,1172.27449717843,1241.91080872466,658.242664425029
"Polr2e",1323.16244206862,1086.77846552391,1274.41075198897,949.646699494694,1303.02789931006,643.42931342945
"Ugt8a",1322.79941772373,1139.29823650112,1640.80757182351,1544.48034643093,1516.53700343444,753.900678661933
"Polr3h",1322.35533998147,1068.5822113444,1278.74080923733,1134.01034445154,1209.91885079565,641.214639550284
"Mdga2",1320.96881637494,1180.40428447473,1786.60554037244,1934.07899237747,1132.60133786779,703.699224399145
"Cacng8",1320.60474612073,1002.90897334787,1024.3839578774,1040.08924230371,1390.8951323226,767.872622920348
"Ssbp4",1320.53411139068,866.651782883041,922.011817042511,800.068647925933,1259.47119988375,605.509784493101
"Nhp2l1",1318.77057907244,923.25850617578,1165.66905613278,1175.75305651724,1354.18862475047,667.786532946598
"Otud6b",1318.63925882131,1108.1039677289,1526.28161220055,1666.22992328922,1345.26058101445,691.831990960969
"Cyth3",1318.12130569429,1151.03277992676,1197.21760628701,1304.45975205315,1347.68394903878,745.63400947818
"Kctd10",1317.60765172504,1053.76319334504,1197.14635969864,1405.33797287859,1440.66625487188,691.179178319258
"Smurf1",1317.41137515986,1125.56786138427,1633.12823905368,1495.78051568761,1543.07397143486,872.443261264683
"Vps11",1317.21367573886,1097.93399494673,1202.98567197117,987.910852221586,1324.11172739323,716.258695661221
"Kcmf1",1315.60037832563,984.564727084124,1298.60701507967,1367.0738201517,1257.3979443849,633.570195927866
"X9030624J02Rik",1314.8868178328,1087.57388079022,1113.20127219407,740.93313916619,1407.28000746523,658.172064307317
"Snx17",1312.00360880682,1143.45900472534,1204.73049992707,1158.3602598232,1353.38144765269,800.325474158667
"Dgat2",1311.9945844435,881.435305649749,1029.35695226898,1227.93144659937,1233.89767393856,695.607815965839
"Vipas39",1311.19290651438,850.563994403678,1184.86990050626,862.682716024484,1302.2855068486,581.10792614796
"Tmem64",1310.96041828572,1128.41452287112,1099.28141441508,1022.69644560967,1357.45112955998,841.526723168299
"Csrnp2",1310.36214662075,1103.15648635461,1436.28094307343,1481.86627833238,1388.72745909693,805.235352032857
"Faf1",1309.88106531428,1098.70679016617,1248.41537948432,921.818224784227,1315.66683809002,600.864444463894
"Slc8a3",1309.77762583776,1168.11903248012,1281.8181203581,1182.71017519486,1270.89086026542,662.931177845745
"Gabarapl2",1309.13082826529,985.143827254734,1387.2320290522,1412.29509155621,1161.5228074389,622.436547075332
"Creld1",1308.95347467095,1036.80363988446,1138.59092470174,1001.82508957682,1544.89236959986,769.83778567259
"Mgat2",1308.84044975046,818.55018988591,1200.84876271876,1040.08924230371,1310.19640835895,598.664701315668
"Ctsa",1308.58572518285,958.927197088608,990.299575769747,873.118394040909,1319.68520310858,699.320311845716
"Vps29",1308.2781112159,1121.14767052359,1325.95229736731,1871.46492427892,1136.0915171324,696.479408017245
"Scyl1",1307.26305367611,878.002611439805,1104.14942948281,727.018901810956,1493.10743707628,601.296094747174
"Ilk",1307.16216415646,1125.31987302132,1056.33733993722,692.233308422872,1271.21812184922,736.294870653453
"Abcd3",1305.43070028748,1050.09572481356,1363.69355958599,1429.68788825025,1289.20612445452,669.60584555729
"Scaf11",1304.54160949007,1114.34246229481,1231.41152007686,1026.17500494848,1234.01974368248,674.869869848891
"Zfand3",1302.96882428639,993.398720316593,1211.26711112277,1123.57466643511,1436.03320933196,700.139907625247
"Nfat5",1302.76066241344,1131.45226733849,1487.97037024893,1857.55068692369,1186.61464638115,688.577249398834
"B4galnt1",1301.4969251756,985.578805411218,1063.6185410003,636.576359001938,1577.83186587048,809.719781631516
"Mrps7",1300.9115010583,887.411785665083,1147.72831206756,834.854241314017,1316.99092165056,559.750018646489
"Itpk1",1300.87398562657,930.184304552259,1087.7759186138,1092.26763238584,1327.50216347768,657.572993168798
"Ndufb11",1299.69579363152,719.649616786943,1471.74903046649,855.725597346867,1055.75361366379,402.03702072578
"Rprd2",1299.62078222811,984.312166435443,1434.4106045702,1186.18873453367,1366.94360738669,652.437011807151
"Efnb3",1298.65316016371,856.324963563863,1054.4399172379,841.811359991633,1242.8542082572,692.967402445591
"Fbxo10",1298.23529362438,966.189373289374,1153.64451014983,911.382546767801,1418.48136645741,649.477523112469
"Eif4enif1",1296.43765628051,950.582489672775,1289.75837218775,1102.70331040226,1381.85069896403,600.987490185221
"Exoc2",1295.98299265963,1161.16188220705,1211.10630979799,1012.26076759324,1296.04447047118,717.43702855664
"Hspa13",1295.24016382983,1123.96824466514,1252.49698210428,1280.10983668149,1446.12103729143,744.808297762036
"Zbtb41",1294.80005402289,1112.50128878552,1607.75948421315,1600.13729585187,1325.96321337248,683.820227514915
"Dctn4",1294.78741150722,1043.82162450533,1146.2663032424,1384.46661684574,1360.98927134021,813.210724006909
"Ctsf",1294.72483823763,1137.21670547071,1016.79317744021,702.668986439297,1316.70584028706,685.707483755845
"Ube2s",1294.54017827712,976.210570162367,1164.83254258787,1012.26076759324,1228.4676754897,612.253783143617
"Phrf1",1294.40003184119,1090.41872382126,1419.12139453095,1203.58153122771,1529.24108517469,671.863925793853
"Ptges2",1292.98678226292,804.767928315287,1215.1306232818,747.890257843806,1189.07958904421,495.820775598321
"Smdt1",1291.31022924872,810.892589186638,1426.09061777849,1147.92458180677,1058.21844806774,433.776680750516
"Arpc5l",1290.28086099704,954.098075263504,1622.48801765498,1217.49576858294,1311.76088798021,563.529035755688
"Kctd13",1290.12815443843,932.125872715962,978.587945822812,897.468309412568,1237.42540010855,722.829933903363
"Aff3",1289.57785928165,1028.28812638243,1423.60506920247,1241.8456839546,1717.59554935845,741.797357235029
"Sgms1",1288.99870236282,918.600617133882,1426.14187128249,967.039496188736,1351.6203912801,608.747897943887
"Marc2",1288.70170746718,825.385975557358,1239.15052014832,960.082377511119,1093.665846901,491.506824823207
"Ndufb5",1287.0096439395,685.766254647346,1600.04267122812,1429.68788825025,1124.83160336139,391.13281013845
"Cpne4",1286.15871212263,1050.67708803852,891.940724770102,1318.37398940838,1457.27644630332,790.293971222682
"Rpl38",1285.20654990791,398.193689977131,2265.98645167729,1186.18873453367,928.713145394711,208.247580341483
"Tmem35a",1285.01524731541,919.799879887699,857.900937935923,1227.93144659937,1196.72957124978,639.475207355448
"Prps1",1283.69026822854,1130.94088763705,1159.47761231792,1314.89543006958,1203.30197755139,667.127753583089
"Adcy8",1283.10282483176,808.241788174007,1115.68282682682,907.903987428993,1286.49019699744,590.833268436995
"Nek9",1282.77417090072,1136.12231642406,1364.58293963582,946.168140155885,1290.25889042372,747.904210664708
"Txndc5",1282.47852958709,947.962343107867,990.701318314842,1085.31051370822,1212.31911794875,655.68368757227
"Ak4",1282.3358539051,1130.61744515084,1198.2119817993,1349.68102345766,1488.21986278044,738.829057088047
"Ss18l1",1282.07687041293,995.426909218347,1103.09863939418,1151.40314114558,1119.56948553084,728.295346786638
"Ppargc1a",1281.76338270324,698.842173099271,1403.16857581306,1095.74619172465,1097.4877210118,434.886278125472
"Tbcel",1281.47114685598,1104.36018340368,1248.88426716241,1318.37398940838,1232.77079976637,686.990566135713
"Fam120b",1281.39132989247,889.542095909409,1250.32517021044,1033.1321236261,1566.4899481279,624.838786329132
"Slc6a15",1280.23068228585,1000.21630442506,1188.74712784718,1203.58153122771,1005.05870335276,609.707435994189
"Gnb4",1278.66254332147,1140.6524028512,1233.91756571601,1147.92458180677,1296.66212644015,623.839897145708
"Fam135b",1278.52408579256,1024.46596197674,1577.1407492973,1085.31051370822,1718.14655532405,637.193169163799
"Klf6",1277.16184551911,1089.92866894229,1054.46016092321,1711.45119469373,983.920742649959,656.735436218842
"Bbs1",1277.12961504764,948.815915897114,1464.67783557319,984.432292882778,1583.34289464428,700.583652137655
"Fkbp15",1276.70291050463,993.919110154514,1360.79447829127,987.910852221586,1262.41574144399,602.4775919328
"Acp1",1276.03530227514,1038.96441161705,1614.62903455221,1565.35170246378,1033.14808737334,568.470256557666
"Scaf1",1275.59525837762,995.725039445384,1094.9630264665,876.596953379717,1370.36707166726,657.409785718
"Ulk1",1273.56315646025,1083.92393280905,1202.65149407855,935.73246213946,1337.27369044303,727.602670987739
"Timp3",1272.75892500998,980.389263544694,874.12500618892,782.675851231891,1050.83902438504,702.878911372459
"Eif3l",1272.20557066789,1006.00269886817,1155.91610335799,740.93313916619,1479.8333947555,686.720102141784
"Sidt2",1272.12856833699,1064.15006941916,1124.62262079484,855.725597346867,1376.3542074212,708.492148301827
"Fads2",1271.68385042315,962.29984224101,988.006267547808,852.247038008059,1288.51231616856,699.827543140603
"Hipk2",1267.81398415349,1011.61466963452,1642.47232401131,827.8971226364,1174.79761151872,782.881610710899
"Bcas3",1267.2792216093,1058.57965435506,1073.37299093328,918.339665445418,1253.91119715782,602.641466388454
"Abcb9",1266.82376482408,1116.42383015237,1202.0405627103,1196.62441255009,1376.38635473875,786.308742000096
"Cbl",1266.81717688325,972.125085615085,1335.3225785995,1777.54382213109,1241.26716396843,735.538601821501
"Cbln2",1266.25991886474,845.039843852716,1382.52771128199,831.375681975208,1616.06200030034,693.337930616961
"Ppp4r4",1261.5807587005,854.681748320133,1450.14191396021,765.283054537849,1248.19135040394,502.456986975519
"Ctcf",1261.03284863945,982.315132544547,1291.92595619862,1054.00347965895,1239.06908882408,575.296985169882
"X9930021J03Rik",1260.41850326672,601.376121619158,1374.64876925519,1179.23161585605,1256.29869882099,457.892814119676
"Smek1",1259.66835144965,1046.44033932068,1386.32665399864,1109.66042907988,1269.64766974725,591.789035279192
"Xpo5",1259.59164070863,1064.1909763563,1127.94930862588,640.054918340746,1369.33629283278,693.928289275696
"Arid2",1258.99476075808,940.612071335602,1490.39201530975,1113.13898841869,1398.78790034313,605.790470840852
"Atf4",1258.72960553007,841.745500310398,1109.32538923137,1106.18186974107,1523.31685489627,731.76087252584
"Gspt1",1258.61375562157,1096.54804502801,1352.63181255095,1353.15958279647,1386.12387169148,738.226116648216
"Kcnb2",1258.49485418174,955.683012054865,1443.48607845027,1725.36543204897,1165.77248318128,665.044878335233
"Sin3a",1258.00648802042,1037.7904971411,1341.20762241376,1426.20932891145,1249.08795542226,598.376489460442
"Ergic3",1255.85850914286,830.695087286733,1058.62565600537,977.475174205161,1148.95695079232,579.605836350502
"Wbp5",1255.59314129121,964.793444563745,1861.44685740395,1165.31737850081,1161.00758420163,474.488687307158
"Fam173a",1255.2059570271,1048.74233543149,1176.07105922797,893.989750073759,1086.5584928183,543.048312053447
"Wdr11",1254.92174246942,1087.9840462019,1116.30624484147,956.603818172311,1115.82696864799,625.518064863919
"Csnk2b",1252.85208421132,863.613321808235,1104.46694036811,866.161275363292,1134.96662842147,531.508957892622
"Dbnl",1251.72943144941,987.350971549182,1171.47446539077,984.432292882778,1322.06732054892,640.301261487428
"Hdgf",1251.70827511198,868.525861176188,1003.34603236403,1349.68102345766,1171.35235761,657.247667993055
"Ctps",1250.07850361943,1010.49479515265,1162.92713530154,977.475174205161,1285.99821081323,641.559186703852
"Tmco3",1249.4305346725,1017.12722854729,1186.00049406969,800.068647925933,1464.52166093523,722.914014679629
"Zbtb20",1248.54028418199,1100.98196463098,2008.0721508445,2160.18534940002,1315.934957369,887.376477828005
"Slc45a4",1248.53251094704,1087.2541520582,1238.84159197916,1224.45288726056,1350.13790673795,770.84775639375
"Swi5",1247.98196495903,929.377574893113,1425.00224965369,1443.60212560549,998.200884554451,506.919585294456
"Sap30bp",1247.6800612748,1072.86818529423,1171.88270783269,1015.73932693205,1321.47462984354,762.091555640196
"Slit2",1247.1126242148,853.021300392143,1274.46296451206,887.032631396143,1095.30131042136,566.450407332483
"Uvrag",1246.41502514611,1051.57234452465,1327.74494382165,1419.25221023383,1278.26285732716,642.310180884964
"Mapk3",1245.89687390292,664.466125062103,847.581263707217,619.183562307895,1071.72453384793,458.645155107997
"Ubac1",1245.26689398939,1055.89367487617,1239.75002223288,935.73246213946,1392.58287735054,689.487742229662
"Cpne5",1244.65471416008,824.287203205022,1034.08776857413,848.76847866925,1297.68931778222,564.13808098937
"Gltscr1l",1244.44373211416,757.866229143828,1335.08584634668,1102.70331040226,1242.26925824364,551.338519955966
"Lgr4",1244.28622692412,963.368754598604,1341.17980255343,1217.49576858294,1377.41742057002,618.225753918174
"X1110008P14Rik",1244.08244792787,758.017092008017,1488.40636978425,1412.29509155621,1196.08902739791,538.112588176786
"Ndufc2",1243.61632984921,783.109783875355,1438.2761150893,873.118394040909,1110.98219440899,489.918841724477
"Vat1l",1243.21391636845,764.057454090912,988.977522784304,890.511190734951,1323.29206607095,551.258056143672
"Mrps17",1242.97047928384,862.208135279104,1240.75423760342,1078.3533950306,1214.13059143657,585.118536391878
"X1110004F10Rik",1241.73224880562,1044.58631517577,1242.02198466159,1401.85941353979,1005.24307410065,560.840609886794
"Mrpl28",1239.91773911164,784.571162110125,1318.94748108195,709.626105116914,1355.34792153722,439.991108881041
"Actr8",1238.49680358162,1084.14253341909,1296.83010522015,1095.74619172465,1341.80555511898,607.491942695977
"Tbc1d14",1238.37344505154,880.338388188479,1147.70410304557,1252.28136197102,1089.13857775009,562.64264770337
"Tmem184c",1236.82821776648,494.076800478079,1382.31792155282,650.490596357171,1343.37781127256,377.92490362401
"Nr2f6",1235.7500286402,986.288228705524,1091.10229030009,573.962290903386,1235.57855476541,607.106488086328
"Psmb3",1235.52585671776,748.037360481795,1093.22870848929,820.940003958783,1079.14449780386,485.496043276396
"Gm15772",1235.39105269701,610.760647737807,1416.40188969474,1429.68788825025,953.867280827035,300.500940277646
"Cse1l",1234.5428301578,1017.92565530639,1127.50737819365,1116.6175477575,1230.15150019476,605.530516487616
"Fbxl2",1234.05401302347,904.913978323839,1200.47670866696,845.289919330442,1312.88750405301,673.463745897704
"Phf23",1233.99134693029,736.974114099195,1186.84763065915,946.168140155885,1137.84656663831,471.343962673579
"Jdp2",1233.9559180134,825.628957031878,1208.30473502685,1001.82508957682,1421.06288710506,563.95481101163
"Igfbp2",1233.40936014606,739.969276139111,857.07804955989,542.655256854111,1008.02371840606,457.12119922394
"Anxa7",1232.93725267666,900.562941987692,891.116573698232,1172.27449717843,1202.53285527118,646.27893374506
"Ube2q2",1231.63776926867,1083.19067083197,1263.10923363957,1269.67415866507,1182.67704175304,635.639930256309
"Surf4",1231.57339071872,942.427792914279,1014.82607310873,1116.6175477575,1355.76458116947,742.967587767939
"Lzts2",1230.45260419402,850.534323388985,1033.96155929979,918.339665445418,1201.00511032265,657.082733945735
"Ssbp2",1229.34019632067,1057.09835703188,1321.03542220593,1554.91602444736,1207.84775205778,726.195624494981
"Kctd2",1229.16688697599,896.114635721955,1063.8775969809,918.339665445418,1065.78001234403,597.746764233162
"Dpf1",1228.4681344799,950.239233841076,1007.17396207007,1064.43915767537,1382.82454466838,687.937092444633
"Acsl1",1228.37723777965,976.25424030044,1080.36284322528,953.125258833502,1144.41246681074,692.036099183797
"Zcchc24",1227.23129849271,876.760628476337,1045.11359809597,493.955426110793,1264.50625321932,688.574817648554
"Nos1",1226.67923413672,1005.9135332793,973.51520705413,779.197291893082,1455.27146808043,624.829419888524
"X1700094D03Rik",1226.50956359285,1067.97052294805,1318.27667100258,1241.8456839546,1191.34078108113,588.162539236463
"Bub3",1225.77103182003,985.452424550171,1083.12762314652,991.389411560395,1321.95756238627,699.946928054407
"Pcif1",1225.01025823023,1039.49850627195,1079.32311094556,977.475174205161,1248.68110386933,670.41656332749
