"","SAL_WT","SAL_KO","RO_WT","RO_KO","RO_RAP_WT","RO_RAP_KO"
"Psd",8938.9636804151,6275.78527971436,6966.31070678588,4908.24722705865,9265.51907022157,5122.38755278925
"Rps3",8907.37628264466,4325.2280094885,12927.568325777,7068.43257645867,7238.99312665934,2166.08236708865
"Aatk",8880.67607689527,7015.69714451632,9458.23106885351,5447.42392457396,9724.72755625565,4743.05107332029
"Gpr162",8863.59551079779,6304.04170601617,7882.02546200858,4675.18375135849,9188.75708051406,4300.61637389368
"Grm5",8862.00623558233,6359.70203674247,8998.90453555631,7492.8168157933,9245.86618378454,4474.37998894888
"Uchl1",8836.54966679636,4730.77542900282,6815.57113865214,6042.25757151019,8184.23640094981,3515.94532457871
"Cdk5r1",8825.49095411545,7369.93953201674,7648.37190924961,8532.90605809701,9508.28052909512,5972.1605081009
"Cspg5",8820.75922449372,5468.88466884043,7133.54749434799,4136.00705384319,7943.84199855647,3873.25848095454
"Camsap2",8785.06055459389,5889.38542336957,8906.66056373763,6758.84079530473,9697.64493799315,3846.13658343459
"Plk2",8777.25336873626,7012.60013397586,10028.6411544667,9941.72259031441,9547.10772457818,3932.54564204086
"Rap1gap2",8637.60461607804,7572.56995944885,8578.10186924835,7572.82368058589,9636.55885548595,5657.76813171996
"Arhgef12",8628.58021235472,7062.49546167418,8949.40254050407,6358.80647134176,9640.18255887666,5325.00782570885
"Sept3",8598.94171329526,7131.3284062538,7410.84916403564,7830.23707165771,8480.04666534605,5355.19403837108
"Atp2b4",8577.46603973219,7020.35065066909,6812.50675030263,7579.78079926351,9334.58247699914,4787.16625961895
"Eno1",8555.56595672541,6317.95293827179,6343.62791739292,5819.62977382646,8521.53087141996,4129.27599321941
"Rnf14",8553.53318494569,5914.49385371352,7734.89834291502,6292.7138439044,9125.66599868762,4207.50766551668
"Gpr26",8541.48639136476,7513.77935234403,9565.95356035391,11788.8375992217,8365.35388537338,6115.81162448429
"Sv2a",8520.54962972494,7495.8672927219,7246.35161844689,8209.40003958783,7756.73775077665,4968.13615400005
"Tuba4a",8502.07110134706,7342.92422429292,7002.21452058313,7722.40173215465,9222.73028715816,4895.67147828266
"Pkp4",8407.81581275808,3856.26078083007,9780.91543064705,2751.54043699745,9294.2533572405,2437.19014193275
"Maged1",8380.8831834507,5859.03064356077,6630.86403869687,5158.70349945286,9658.65906451556,4407.66680225795
"Kif5b",8362.70582643769,7303.12939098222,9757.53995975133,5882.24384192501,8406.73686886685,4221.61956174788
"Tubb5",8358.0601770881,5962.22791554911,6311.5751832294,6122.26443630279,9026.50846364382,4438.53206452899
"Noct",8349.51033183932,7156.70572832996,11608.2277965156,8960.76885677044,9191.49709520062,4574.61134766374
"Phactr1",8337.40666601651,7138.73445663918,8381.50275754225,8042.42919132503,10113.2035757612,5529.04324777524
"D17Wsu92e",8330.60102206389,6690.48754194605,8210.65992856954,5951.81502870118,8932.16866250719,4764.18097934754
"Ndrg3",8309.17887694669,6394.3205754328,6976.46934904963,6800.58350737043,8285.20108780818,4777.9832285866
"Snrpn",8291.95942938613,5833.52421360381,7532.92771231452,6077.04316489828,6828.136659771,3331.68244842961
"Cx3cl1",8269.03495866675,6737.38383134069,6647.38930653512,8028.51495396979,11254.5998399704,5736.4009163783
"Kcnb1",8245.32583842377,5957.44729281506,10474.8294494797,8696.39834702101,9660.65577453552,5034.59319333592
"Ywhaq",8173.53760207011,6825.18792892611,7987.19163386837,7628.48063000683,8620.14034873636,4478.12659914208
"Ctsd",8171.609848691,5533.08016884864,6761.24584902432,5677.00884093531,8381.66228386432,3900.05319179079
"Tro",8167.56141813172,7170.82516410552,9459.60925871981,7009.29706769893,9893.03127036904,4191.79591307666
"Son",8125.89121877559,7187.44986410686,9856.42285638594,7569.34512124708,9708.88438363361,4030.64223228719
"Fam131a",8097.69821921307,6994.09291830055,6207.5215354406,7228.44630604386,8237.07590143382,4970.22322697039
"Rasgef1a",8080.12291107495,4753.16923542326,6985.48157706693,4852.59027763772,8392.81525852433,3436.22798445416
"Uba1",8042.83765294932,6243.81107131362,7174.15276630141,5475.25239928443,9042.00036383495,4211.24301819773
"Pcdh7",8040.74668398558,6819.41424010138,8799.24409138711,8393.76368454468,7728.92253265025,4393.53865189998
"Arrb1",8036.42535090278,6754.43009731434,8202.74579269255,6637.09121844643,9645.076278893,5633.22885011347
"Arhgef4",8029.55071896736,5726.81284111546,8064.9472384024,5043.91104127218,8439.78747098028,4416.00665385517
"Pak1",8018.6098102408,6250.78798310213,6896.01680373845,6824.93342274208,9007.36946138,4769.83986168285
"Slc22a17",7994.16546416284,5521.07688336542,5657.19031381038,5158.70349945286,7376.20310831187,3782.80125897889
"Ptprj",7985.81617348975,4980.13649227389,9449.76268706151,5315.23866969924,9178.78763106088,3610.71998106929
"Cenpb",7943.56702253286,5666.36102194956,8002.07307249303,3861.20086607733,6288.19580444974,3447.92050009897
"Osbpl1a",7923.71818473041,6016.42937850059,8074.74618893581,6964.07579629442,7821.19257772615,4012.05009420166
"Map4",7920.1408129051,6479.2646162531,7865.63583662251,5958.77214737879,7990.66282372768,4126.25374549024
"Adgrb1",7912.32884696272,7091.39448560541,7046.67222797121,7165.83223794531,9445.94939365464,5196.68995074935
"Arpp21",7901.90941385302,6584.96311397003,8025.91644856797,10383.4996263431,8239.88864150102,4198.57757232999
"Homer1",7887.79286437537,6800.68543850857,9206.44013660529,8814.66936454049,15328.4841155121,5055.44022709984
"Nrcam",7864.0971168171,6748.95003234557,6652.28506391815,7962.42232653243,7978.59192310758,4844.61495596789
"Tyro3",7860.27303864929,6944.84039114855,7913.71401327037,6080.52172423709,9272.89627681181,4490.93160942511
"Agtpbp1",7838.59181716683,5893.1653953555,8255.92199476977,5562.21638275464,9038.82167338584,3646.88537427978
"Fkbp8",7833.43928325822,4979.98245055638,6179.50639570109,4807.36900623321,7668.84783457366,3661.53290982077
"Ldhb",7824.67270873682,5741.41647495146,7460.24220525888,5889.20096060262,7037.73020466732,3195.1014536
"Chst2",7818.4187920518,5519.44674458918,7443.94527463972,3809.0224759952,7879.51184699322,4255.3528941736
"Marf1",7809.890653741,4756.1301994993,8470.04054134537,3565.52332227861,8527.78846974328,3979.6253354197
"Sacs",7808.75253966593,4503.76971536756,10438.8072580515,5976.16494407284,8580.7591020346,2827.25529590246
"Snap47",7774.16238566821,6940.3159241406,6097.2265615862,7012.77562703774,7849.4287704856,4360.09814663354
"Prkcz",7764.15884988153,5370.34516538846,7266.73464720223,4675.18375135849,8686.50515088526,4045.84219069062
"Pde1b",7763.82630684388,5105.23375483106,6946.53938813251,5788.32273977718,8434.45734716104,3462.65463832548
"Nrgn",7748.6312236361,5097.05655706588,5961.55784142374,6254.44969117751,7126.77398731489,3984.0884865883
"Gabra1",7741.68003819249,6613.54245277906,6549.64567529939,7388.46003562905,7499.85414253641,4093.42096829434
"Atp6v1e1",7711.78298101284,6569.40833677778,7227.11971484952,5830.06545184288,7671.97600230181,3892.9585602556
"Aak1",7704.23682567902,6858.71115308218,7429.94614869226,8811.19080520168,8299.82315437159,4806.54880197982
"Dlgap1",7701.70369838839,5658.3315811189,7552.56223197149,5958.77214737879,7674.85939356367,3685.73952648557
"Prrc2b",7687.84487823473,6295.2205489255,7290.06619288903,7117.13240720199,7994.7713176088,4552.84429234613
"Zfr",7665.49415008145,5251.65850954412,7936.76396783928,5322.19578837686,8806.07342599706,3643.35048265208
"Zfp106",7643.01578842639,5674.16852333609,8076.83728082672,6028.34333415496,7580.28248710226,3954.20872319056
"Kif3c",7635.83652460733,6217.1935370948,6743.78813373017,6097.91452093113,8892.80275450109,4889.69617166963
"D430041D05Rik",7623.20400430081,6354.77899198898,8291.94058693386,6915.3759655511,8870.05787257951,4528.07990560765
"Nsmf",7619.09375384051,4802.94107303216,7477.73606037577,4302.97790210599,8189.11343384343,3857.28717879356
