"","SAL_WT1","SAL_WT2","SAL_WT3","SAL_KO1","SAL_KO2","SAL_KO3","RO_WT1","RO_WT2","RO_WT3","RO_KO2","RO_RAP_WT1","RO_RAP_WT2","RO_RAP_WT3","RO_RAP_KO1","RO_RAP_KO2","RO_RAP_KO3"
"Gm12992",50.5042839392736,52.7547186044812,47.7615302983695,30.9405329880918,54.2195648411185,56.7368940799158,56.666141333918,69.6893590327968,71.0080725794606,31.3070340492756,48.4084668623861,54.0176775083922,49.1872771277034,19.1304262247053,35.4665745401604,45.2606994639096
"Tmem200b",151.512851817821,143.426891205933,158.398999217377,96.6891655877868,197.298972060737,93.5661060265278,139.485886360414,163.618495120479,126.926929735786,160.013729585186,182.60409018976,167.565040434196,166.959630813754,69.0561727135703,79.7997927153608,63.4537257190105
"Epb41",567.91551939877,549.803082956078,571.929210914652,421.56476196275,1268.13537767283,587.276622932462,586.276616108613,590.844565712842,545.874557954603,448.734154706284,1072.33945581235,567.185613838118,521.662248974094,237.497242643293,328.587381769133,272.007929131143
"Oprd1",390.635175775198,445.11793822531,448.595639004939,382.244501290384,250.012437878491,317.527530026196,553.584611492891,494.895448203919,495.281306241738,459.169832722709,528.816543066319,456.945455657726,567.385633346325,264.559796814827,304.59528722726,278.663914346424
"Gm13215",426.70966430325,246.463450980311,295.637826783578,85.0864657172524,82.8354462850422,61.7138146132418,525.251540825932,524.185178811906,463.327673580981,260.89195041063,178.314732366511,218.826713988078,193.977994306436,38.7274482109888,33.9018727222121,28.8426025995502
"Ythdf2",737.980965316733,887.762999016036,762.370755775239,590.448504522751,588.884718135482,568.364324905823,658.199026263201,756.483042254562,731.383147568444,838.332800652825,873.803465136235,799.241146807843,915.853244546816,451.664697207676,408.387174484494,457.931782811321
"Gmeb1",543.178727265249,544.033035608713,498.17089830198,602.051204393286,525.628559154177,580.308934185806,712.685700622738,651.444008350057,622.208235977524,807.025766603549,596.220737431667,547.893586156549,480.095535908429,347.147246614164,419.340087210131,350.992287019142
"Taf12",251.490720024138,248.936328414896,252.108330815444,199.824275548093,233.445348621482,211.02143061302,263.715503900157,258.557621918782,261.842267636761,320.027459170373,210.178533339221,275.60039545098,274.340306233388,153.043409797642,122.568309072613,148.650336474605
"Snhg12",119.561161978689,106.333729687157,103.382552924319,113.448620956336,146.091605266347,92.5707219198626,196.152027694332,122.208875985049,130.477333364759,107.83533950306,95.5914029181295,104.176949480471,106.68789686854,80.7210667530248,57.8939672640853,78.9843578879991
"Trnau1ap",623.573301699194,336.311331103568,441.34072301025,415.763412027483,367.488161700914,334.449059839504,560.123012416036,447.425884804768,505.044916221414,403.512883301775,370.723069009413,407.337384476549,363.015960773473,223.965965557525,148.125105432434,223.19737088575
"Rcc1",239.122323957377,201.95165715778,284.755452791545,232.053997410688,250.012437878491,190.118364373051,213.587763489383,185.838290754125,225.450630439787,278.284747104672,238.978507295324,232.606733760627,227.231364758968,138.112345427141,135.607490888848,134.450901348673
"Snora73b",1221.37911159264,648.71818033948,926.815518321524,769.645758078783,584.366421065389,862.998020478719,832.556384213718,1305.91798883197,852.984471860771,1676.66560130565,716.935521885972,966.806187242039,611.030682065273,509.055975881792,333.803054495627,414.446012738153
"Phactr4",38.1358878725127,79.1320779067218,58.643904290403,44.4770161703819,79.8232482383134,39.8153642666076,67.5634762058253,59.5894519265943,49.7056508056224,107.83533950306,47.7957014590648,46.3008664357647,47.8017200255146,24.2629796020652,41.2038145393039,24.4052791226963
"Med18",203.047835429324,171.452835464564,177.745441869881,141.166181758169,188.26237792055,123.427629226484,211.408296515002,205.028114255909,198.82260322249,142.620932891144,162.995597283477,194.02267839749,182.200758937831,84.4538328456502,89.7095708956997,86.0840754509653
"Sesn2",144.29795411221,283.556612499087,204.346800517074,182.420225742291,108.439129682237,168.219914026417,141.665353334795,213.108039940871,206.811011387679,104.356780164252,255.523173185,203.393091842824,248.0147212918,118.515323440857,191.415189062336,145.100477693122
